,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
156,Kazakhstan,435.0,3.0,27.0,405.0,2020-04-02,7,55.0,0.14473684210526305
157,Kyrgyzstan,116.0,0.0,5.0,111.0,2020-04-02,2,5.0,0.04504504504504503
158,Uzbekistan,205.0,2.0,25.0,178.0,2020-04-02,5,24.0,0.13259668508287303
159,Armenia,736.0,7.0,43.0,686.0,2020-04-03,15,73.0,0.11010558069381604
160,Azerbaijan,443.0,5.0,32.0,406.0,2020-04-03,8,43.0,0.10749999999999993
161,Georgia,155.0,0.0,28.0,127.0,2020-04-03,4,21.0,0.15671641791044766
162,Kazakhstan,464.0,6.0,29.0,429.0,2020-04-03,8,29.0,0.06666666666666665
163,Kyrgyzstan,130.0,1.0,6.0,123.0,2020-04-03,3,14.0,0.1206896551724137
164,Uzbekistan,227.0,2.0,25.0,200.0,2020-04-03,6,22.0,0.1073170731707318
165,Armenia,770.0,7.0,43.0,720.0,2020-04-04,16,34.0,0.04619565217391308
166,Azerbaijan,521.0,5.0,32.0,484.0,2020-04-04,9,78.0,0.17607223476297973
167,Georgia,162.0,1.0,36.0,125.0,2020-04-04,5,7.0,0.04516129032258065
168,Kazakhstan,531.0,5.0,36.0,490.0,2020-04-04,9,67.0,0.1443965517241379
169,Kyrgyzstan,144.0,1.0,9.0,134.0,2020-04-04,4,14.0,0.10769230769230775
170,Uzbekistan,266.0,2.0,25.0,239.0,2020-04-04,7,39.0,0.17180616740088106
171,Armenia,822.0,7.0,57.0,758.0,2020-04-05,17,52.0,0.06753246753246755
172,Azerbaijan,584.0,7.0,32.0,545.0,2020-04-05,10,63.0,0.12092130518234168
173,Georgia,174.0,2.0,36.0,136.0,2020-04-05,6,12.0,0.07407407407407418
174,Kazakhstan,584.0,6.0,42.0,536.0,2020-04-05,10,53.0,0.09981167608286245
175,Kyrgyzstan,147.0,1.0,9.0,137.0,2020-04-05,5,3.0,0.02083333333333326
176,Uzbekistan,342.0,2.0,30.0,310.0,2020-04-05,8,76.0,0.2857142857142858
177,Armenia,833.0,8.0,62.0,763.0,2020-04-06,18,11.0,0.01338199513381988
178,Azerbaijan,641.0,7.0,44.0,590.0,2020-04-06,11,57.0,0.09760273972602729
179,Georgia,188.0,2.0,39.0,147.0,2020-04-06,7,14.0,0.08045977011494254
180,Kazakhstan,662.0,6.0,46.0,610.0,2020-04-06,11,78.0,0.13356164383561642
181,Kyrgyzstan,216.0,4.0,33.0,179.0,2020-04-06,6,69.0,0.4693877551020409
182,Uzbekistan,457.0,2.0,30.0,425.0,2020-04-06,9,115.0,0.3362573099415205
183,Armenia,853.0,8.0,87.0,758.0,2020-04-07,19,20.0,0.02400960384153672
184,Azerbaijan,717.0,8.0,44.0,665.0,2020-04-07,12,76.0,0.11856474258970362
185,Georgia,196.0,3.0,46.0,147.0,2020-04-07,8,8.0,0.042553191489361764
186,Kazakhstan,697.0,6.0,51.0,640.0,2020-04-07,12,35.0,0.052870090634441036
187,Kyrgyzstan,228.0,4.0,33.0,191.0,2020-04-07,7,12.0,0.05555555555555558
188,Uzbekistan,520.0,2.0,30.0,488.0,2020-04-07,10,63.0,0.1378555798687089
189,Armenia,881.0,9.0,114.0,758.0,2020-04-08,20,28.0,0.03282532239155911
190,Azerbaijan,822.0,8.0,63.0,751.0,2020-04-08,13,105.0,0.14644351464435146
191,Georgia,211.0,3.0,50.0,158.0,2020-04-08,9,15.0,0.07653061224489788
192,Kazakhstan,727.0,7.0,54.0,666.0,2020-04-08,13,30.0,0.043041606886657036
193,Kyrgyzstan,270.0,4.0,33.0,233.0,2020-04-08,8,42.0,0.18421052631578938
194,Uzbekistan,545.0,3.0,30.0,512.0,2020-04-08,11,25.0,0.04807692307692313
195,Armenia,921.0,10.0,138.0,773.0,2020-04-09,21,40.0,0.04540295119182747
196,Azerbaijan,926.0,9.0,101.0,816.0,2020-04-09,14,104.0,0.12652068126520688
197,Georgia,218.0,3.0,51.0,164.0,2020-04-09,10,7.0,0.033175355450236976
198,Kazakhstan,781.0,8.0,60.0,713.0,2020-04-09,14,54.0,0.07427785419532329
199,Kyrgyzstan,280.0,4.0,35.0,241.0,2020-04-09,9,10.0,0.03703703703703698
200,Uzbekistan,582.0,3.0,38.0,541.0,2020-04-09,12,37.0,0.06788990825688068
201,Armenia,937.0,12.0,149.0,776.0,2020-04-10,22,16.0,0.017372421281216077
202,Azerbaijan,991.0,10.0,159.0,822.0,2020-04-10,15,65.0,0.07019438444924408
203,Georgia,234.0,3.0,54.0,177.0,2020-04-10,11,16.0,0.07339449541284404
204,Kazakhstan,812.0,10.0,64.0,738.0,2020-04-10,15,31.0,0.03969270166453276
205,Kyrgyzstan,298.0,5.0,35.0,258.0,2020-04-10,10,18.0,0.06428571428571428
206,Uzbekistan,624.0,3.0,42.0,579.0,2020-04-10,13,42.0,0.07216494845360821
207,Armenia,967.0,13.0,173.0,781.0,2020-04-11,23,30.0,0.03201707577374591
208,Azerbaijan,1058.0,11.0,200.0,847.0,2020-04-11,16,67.0,0.06760847628657918
209,Georgia,242.0,3.0,60.0,179.0,2020-04-11,12,8.0,0.03418803418803429
210,Kazakhstan,865.0,10.0,81.0,774.0,2020-04-11,16,53.0,0.06527093596059119
211,Kyrgyzstan,339.0,5.0,44.0,290.0,2020-04-11,11,41.0,0.13758389261744974
